OTU,Phylum,Order
ASV3514,Firmicutes,Bacillales
ASV3515,Proteobacteria,Acetobacterales
ASV3516,Actinobacteriota,Others
ASV3517,Firmicutes,Bacillales
ASV3518,Proteobacteria,Acetobacterales
ASV3519,Actinobacteriota,Frankiales
ASV3528,Actinobacteriota,Solirubrobacterales
ASV3529,Acidobacteriota,Others
ASV3530,Proteobacteria,Others
ASV3531,Others,Others
ASV3533,Actinobacteriota,Micrococcales
ASV3536,Actinobacteriota,Frankiales
ASV3538,Actinobacteriota,Solirubrobacterales
ASV3539,Acidobacteriota,Acidobacteriales
ASV3540,Proteobacteria,Caulobacterales
ASV3542,Planctomycetota,Tepidisphaerales
ASV3543,Proteobacteria,Others
ASV3544,Acidobacteriota,Acidobacteriales
ASV3545,Proteobacteria,Others
ASV3546,Acidobacteriota,Acidobacteriales
ASV3550,Others,Bacteroidota
ASV3552,Proteobacteria,Acetobacterales
ASV3553,Proteobacteria,Rhizobiales
ASV3554,Proteobacteria,Others
ASV3556,Others,Bacteroidota
