"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV2787";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2788";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2789";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2790";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2792";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2793";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2794";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV2795";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"ASV2796";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"ASV2797";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2798";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2800";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";NA;NA;NA
"ASV2801";"Bacteria";"Firmicutes";"Bacilli";"Thermoactinomycetales";"Thermoactinomycetaceae";"Pasteuria";NA
"ASV2802";"Bacteria";"Actinobacteriota";"Actinobacteria";"Actinomycetales";"Actinomycetaceae";"Actinotignum";NA
"ASV2803";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2806";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";NA;NA;NA
"ASV2807";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2808";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidiphilium";NA
"ASV2813";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2814";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2815";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV2816";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2819";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2825";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV2827";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2828";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2830";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV2831";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2832";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV2833";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2835";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV2836";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2837";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2838";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2839";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisoma";NA
"ASV2840";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV2843";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Dermacoccaceae";NA;NA
"ASV2845";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Terriglobus";NA
"ASV2846";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV2848";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV2849";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2850";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2852";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2853";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Patulibacter";NA
"ASV2854";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2855";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2856";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2857";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2858";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2859";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"ASV2861";"Bacteria";"Actinobacteriota";"Actinobacteria";"Kineosporiales";"Kineosporiaceae";"Kineococcus";NA
"ASV2862";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2863";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV2864";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"ASV2865";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2866";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV2867";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV2868";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2869";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";NA;NA
"ASV2870";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2873";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2874";"Bacteria";"Acidobacteriota";"Acidobacteriae";NA;NA;NA;NA
"ASV2875";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2876";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2878";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2879";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";NA;NA;NA
"ASV2880";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";NA;NA
"ASV2888";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Weeksellaceae";"Chryseobacterium";NA
"ASV2890";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2892";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2894";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2895";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2896";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2899";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";NA;NA;NA
"ASV2900";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Hyphomonadaceae";"SWB02";NA
"ASV2901";"Bacteria";"Actinobacteriota";"Acidimicrobiia";NA;NA;NA;NA
"ASV2902";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV2903";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV2906";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;NA
"ASV2907";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2908";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2909";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2912";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";NA;NA;NA
"ASV2913";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2914";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2915";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2916";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2919";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";NA
"ASV2920";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Paracoccus";NA
"ASV2921";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";NA;NA
"ASV2922";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";"Delftia";NA
"ASV2924";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2925";"Bacteria";"Acidobacteriota";"Acidobacteriae";NA;NA;NA;NA
"ASV2927";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV2928";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2930";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2931";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2932";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2933";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2934";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV2935";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2936";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA;NA
"ASV2937";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2938";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2939";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"ASV2940";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2941";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2942";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2944";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"ASV2945";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV2946";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2947";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Nakamurellaceae";"Nakamurella";NA
"ASV2948";"Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"JG30-KF-CM45";NA;NA
"ASV2949";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV2950";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2952";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2953";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2954";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Endobacter";NA
"ASV2955";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micromonosporales";"Micromonosporaceae";"Actinoplanes";NA
"ASV2957";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV2958";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2959";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Xanthomonas";NA
"ASV2960";"Bacteria";"Firmicutes";"Bacilli";NA;NA;NA;NA
"ASV2961";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV2965";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";NA;NA;NA
"ASV2966";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV2967";"Bacteria";"Acidobacteriota";"Acidobacteriae";NA;NA;NA;NA
"ASV2968";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV2969";"Bacteria";"Proteobacteria";NA;NA;NA;NA;NA
"ASV2970";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2972";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;NA
"ASV2973";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV2976";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2977";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2978";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV2979";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV2980";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2985";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";NA;NA;NA
"ASV2987";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV2988";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV2989";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV2993";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV2995";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";NA;NA;NA
"ASV2996";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";NA;NA;NA
"ASV2997";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV2998";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"ASV3000";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV3001";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3002";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV3003";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3004";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV3005";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3007";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3008";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3009";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3010";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV3011";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3012";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3013";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"ASV3014";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV3017";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3018";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3019";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3020";"Bacteria";"Actinobacteriota";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Actinomycetospora";NA
"ASV3021";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV3022";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3023";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"ASV3024";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3025";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV3026";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV3028";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3029";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3030";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3032";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV3033";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caedibacterales";"Caedibacteraceae";"Caedibacter";NA
"ASV3034";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV3035";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"ASV3037";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV3038";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV3039";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV3040";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"ASV3041";"Bacteria";"Firmicutes";NA;NA;NA;NA;NA
"ASV3043";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3044";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Ilumatobacteraceae";NA;NA
"ASV3045";"Bacteria";"Firmicutes";NA;NA;NA;NA;NA
"ASV3052";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";NA;NA
"ASV3054";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3057";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3061";"Bacteria";"WPS-2";NA;NA;NA;NA;NA
"ASV3062";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3063";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3064";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3065";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3066";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";NA;NA;NA
"ASV3067";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV3068";"Bacteria";"Firmicutes";"Clostridia";NA;NA;NA;NA
"ASV3069";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV3070";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV3071";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV3072";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV3076";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3077";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Patulibacter";NA
"ASV3078";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";NA;NA;NA
"ASV3079";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3080";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3081";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3082";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3083";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";NA;NA;NA
"ASV3085";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3088";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3089";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3090";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3091";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV3092";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV3093";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"ASV3094";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV3095";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"ASV3097";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium";NA
"ASV3098";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"ASV3099";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3100";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Ilumatobacteraceae";"CL500-29 marine group";NA
"ASV3101";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV3102";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"ASV3103";"Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"JG30-KF-CM45";NA;NA
"ASV3107";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3108";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV3112";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Singulisphaera";NA
"ASV3113";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylorosula";NA
"ASV3114";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus";NA
"ASV3130";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV3131";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV3132";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV3133";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3134";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Reyranellales";"Reyranellaceae";"Reyranella";NA
"ASV3136";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Hyphomonadaceae";"SWB02";NA
"ASV3137";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"ASV3139";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV3140";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
