name+AF8-sirius,Pathway,Class,Subclass
pos7670,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7734,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7746,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7795,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7818,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7820,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7821,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7918,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7954,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8007,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8012,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8023,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos813,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8174,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8290,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8295,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8306,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos832,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8416,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8447,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8452,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8458,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8462,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8593,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8594,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8644,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8679,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8698,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8755,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8783,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8865,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8886,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos8908,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos9020,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos9023,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos9027,Amino acids and Peptides,Amino acids,Amino acids and derivatives
